,Year,Location,Question,Value,Sample_Size,Total,Age,Education,Gender,Income,Race/Ethnicity
2066,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,34.1,2138.0,,,,Male,,
2091,2018,Ohio,Percent of adults aged 18 years and older who have obesity,36.4,1041.0,,,,,"Less than $15,000",
2126,2018,Nevada,Percent of adults aged 18 years and older who have obesity,41.3,196.0,,,,,"Less than $15,000",
2127,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,36.8,2974.0,,,High school graduate,,,
2128,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,35.0,1372.0,,,,,"$50,000 - $74,999",
2129,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2130,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,31.4,3926.0,,,,,,Non-Hispanic White
2131,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,30.8,75.0,,,,,,Non-Hispanic Black
2133,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,39.1,721.0,,,Less than high school,,,
2134,2018,Nevada,Percent of adults aged 18 years and older who have obesity,14.8,78.0,,,,,,Asian
2135,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,34.0,1145.0,,,,,"$75,000 or greater",
2137,2018,Alaska,Percent of adults aged 18 years and older who have obesity,29.5,2600.0,Total,,,,,
2138,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,38.0,323.0,,,,,,American Indian/Alaska Native
2139,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
2140,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2141,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,44.5,730.0,,45 - 54,,,,
2142,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,39.9,482.0,,45 - 54,,,,
2143,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2144,2018,Maryland,Percent of adults aged 18 years and older who have obesity,30.0,2136.0,,,,,"$50,000 - $74,999",
2145,2018,Georgia,Percent of adults aged 18 years and older who have obesity,17.5,84.0,,,,,,American Indian/Alaska Native
2147,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,28.8,250.0,,,,,"$35,000 - $49,999",
2148,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.6,1874.0,,65 or older,,,,
2149,2018,Missouri,Percent of adults aged 18 years and older who have obesity,29.8,1087.0,,,,,Data not reported,
2150,2018,Maryland,Percent of adults aged 18 years and older who have obesity,30.8,564.0,,,,,,Hispanic
2151,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2152,2018,Idaho,Percent of adults aged 18 years and older who have obesity,23.1,1218.0,,,College graduate,,,
2154,2018,Arizona,Percent of adults aged 18 years and older who have obesity,30.4,777.0,,35 - 44,,,,
2155,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,34.1,78.0,,,,,,2 or more races
2156,2018,Texas,Percent of adults aged 18 years and older who have obesity,54.1,104.0,,,,,,American Indian/Alaska Native
2157,2018,Illinois,Percent of adults aged 18 years and older who have obesity,36.7,700.0,,,,,,Hispanic
2158,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,30.3,53.0,,,,,,Other
2159,2018,New York,Percent of adults aged 18 years and older who have obesity,31.0,6866.0,,55 - 64,,,,
2162,2018,Georgia,Percent of adults aged 18 years and older who have obesity,12.2,166.0,,,,,,Asian
2163,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,33.2,1810.0,,,,,"$75,000 or greater",
2166,2018,Nevada,Percent of adults aged 18 years and older who have obesity,33.6,254.0,,,Less than high school,,,
2167,2018,Montana,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2168,2018,New York,Percent of adults aged 18 years and older who have obesity,27.9,15565.0,,,,Male,,
2169,2018,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
2171,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,29.4,2938.0,,,,,,Non-Hispanic White
2172,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,36.3,140.0,,,,,"Less than $15,000",
2174,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,37.8,717.0,,,Less than high school,,,
2175,2018,Arizona,Percent of adults aged 18 years and older who have obesity,35.1,1141.0,,,,,"$15,000 - $24,999",
2176,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.9,581.0,,35 - 44,,,,
2177,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,27.5,679.0,,35 - 44,,,,
2178,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,29.2,64.0,,,,,,Non-Hispanic Black
2179,2018,Iowa,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2180,2018,Arizona,Percent of adults aged 18 years and older who have obesity,31.7,105.0,,,,,,Other
2181,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.4,989.0,,45 - 54,,,,
2182,2018,New York,Percent of adults aged 18 years and older who have obesity,31.4,2463.0,,,,,,Hispanic
2184,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,38.1,438.0,,,,,"$25,000 - $34,999",
2187,2018,Washington,Percent of adults aged 18 years and older who have obesity,31.4,618.0,,,Less than high school,,,
2188,2018,Maryland,Percent of adults aged 18 years and older who have obesity,30.9,16029.0,Total,,,,,
2190,2018,Delaware,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2191,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,32.0,662.0,,,,,"$25,000 - $34,999",
2192,2018,Guam,Percent of adults aged 18 years and older who have obesity,21.8,195.0,,,,,Data not reported,
2193,2018,Vermont,Percent of adults aged 18 years and older who have obesity,28.0,5572.0,,,,,,Non-Hispanic White
2194,2018,Ohio,Percent of adults aged 18 years and older who have obesity,36.5,214.0,,,,,,2 or more races
2195,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,43.2,167.0,,,,,,American Indian/Alaska Native
2196,2018,Utah,Percent of adults aged 18 years and older who have obesity,24.1,1384.0,,,,,Data not reported,
2197,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,27.1,1786.0,,,,,"$75,000 or greater",
2198,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,46.3,897.0,,45 - 54,,,,
2200,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,18.8,317.0,,18 - 24,,,,
2201,2018,Montana,Percent of adults aged 18 years and older who have obesity,11.6,276.0,,18 - 24,,,,
2202,2018,California,Percent of adults aged 18 years and older who have obesity,20.9,3852.0,,,,,"$75,000 or greater",
2203,2018,Kansas,Percent of adults aged 18 years and older who have obesity,41.7,644.0,,,,,"Less than $15,000",
2204,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,21.8,868.0,,,,,"$35,000 - $49,999",
2205,2018,Indiana,Percent of adults aged 18 years and older who have obesity,33.3,62.0,,,,,,Other
2206,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,24.2,1625.0,,,,,Data not reported,
2207,2018,Georgia,Percent of adults aged 18 years and older who have obesity,36.9,757.0,,,Less than high school,,,
2208,2018,National,Percent of adults aged 18 years and older who have obesity,32.7,46643.0,,,,,"$35,000 - $49,999",
2209,2018,Washington,Percent of adults aged 18 years and older who have obesity,26.7,3926.0,,,,,"$75,000 or greater",
2210,2018,Alaska,Percent of adults aged 18 years and older who have obesity,26.9,88.0,,,,,,Hispanic
