ID,Income,Year,Value
0,"$15,000 - $24,999",2011,30.97692307692308
1,"$15,000 - $24,999",2012,31.126923076923074
2,"$15,000 - $24,999",2013,32.23207547169811
3,"$15,000 - $24,999",2014,32.38333333333333
4,"$15,000 - $24,999",2015,33.24629629629629
5,"$15,000 - $24,999",2016,33.276363636363634
6,"$15,000 - $24,999",2017,34.42962962962962
7,"$15,000 - $24,999",2018,35.150000000000006
8,"$25,000 - $34,999",2011,29.517307692307693
9,"$25,000 - $34,999",2012,29.08653846153847
10,"$25,000 - $34,999",2013,30.054716981132064
11,"$25,000 - $34,999",2014,30.498148148148154
12,"$25,000 - $34,999",2015,31.888888888888893
13,"$25,000 - $34,999",2016,32.13454545454545
14,"$25,000 - $34,999",2017,32.70555555555555
15,"$25,000 - $34,999",2018,33.03333333333335
16,"$35,000 - $49,999",2011,28.923076923076923
17,"$35,000 - $49,999",2012,29.111538461538466
18,"$35,000 - $49,999",2013,29.890566037735844
19,"$35,000 - $49,999",2014,31.146296296296295
20,"$35,000 - $49,999",2015,30.829629629629622
21,"$35,000 - $49,999",2016,32.0690909090909
22,"$35,000 - $49,999",2017,32.727777777777796
23,"$35,000 - $49,999",2018,32.92962962962962
24,"$50,000 - $74,999",2011,28.398076923076925
25,"$50,000 - $74,999",2012,28.951923076923077
26,"$50,000 - $74,999",2013,29.184905660377357
27,"$50,000 - $74,999",2014,29.86481481481482
28,"$50,000 - $74,999",2015,30.531481481481496
29,"$50,000 - $74,999",2016,31.045454545454554
30,"$50,000 - $74,999",2017,31.335185185185182
31,"$50,000 - $74,999",2018,33.05185185185186
32,"$75,000 or greater",2011,23.74230769230769
33,"$75,000 or greater",2012,24.40576923076923
34,"$75,000 or greater",2013,25.139622641509437
35,"$75,000 or greater",2014,25.57592592592593
36,"$75,000 or greater",2015,25.98148148148148
37,"$75,000 or greater",2016,26.550909090909094
38,"$75,000 or greater",2017,27.262962962962952
39,"$75,000 or greater",2018,28.924074074074074
40,"Less than $15,000",2011,32.342307692307685
41,"Less than $15,000",2012,32.723076923076924
42,"Less than $15,000",2013,33.08867924528302
43,"Less than $15,000",2014,34.83148148148148
44,"Less than $15,000",2015,34.96481481481481
45,"Less than $15,000",2016,34.400000000000006
46,"Less than $15,000",2017,36.579629629629615
47,"Less than $15,000",2018,36.151851851851845
