ID,Year,Location,Question,Value,Sample_Size,Total,Age,Education,Gender,Income,Race/Ethnicity
1,2012,District of Columbia,Percent of adults aged 18 years and older who have obesity,31.6,243.0,,,Less than high school,,,
2,2011,Alabama,Percent of adults aged 18 years and older who have obesity,35.2,598.0,,25 - 34,,,,
11,2015,Georgia,Percent of adults aged 18 years and older who have obesity,24.6,1041.0,,,,,"$75,000 or greater",
23,2012,Delaware,Percent of adults aged 18 years and older who have obesity,25.6,3837.0,,,,,,Non-Hispanic White
27,2013,North Dakota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
28,2014,Tennessee,Percent of adults aged 18 years and older who have obesity,26.6,810.0,,,,,"$75,000 or greater",
30,2015,New York,Percent of adults aged 18 years and older who have obesity,29.7,1331.0,,35 - 44,,,,
31,2015,Florida,Percent of adults aged 18 years and older who have obesity,30.0,1413.0,,,,,"$15,000 - $24,999",
34,2011,Vermont,Percent of adults aged 18 years and older who have obesity,33.1,1945.0,,,High school graduate,,,
35,2014,Kansas,Percent of adults aged 18 years and older who have obesity,33.2,1802.0,,,,,"$35,000 - $49,999",
54,2014,Delaware,Percent of adults aged 18 years and older who have obesity,33.0,972.0,,,Some college or technical school,,,
85,2013,New York,Percent of adults aged 18 years and older who have obesity,25.4,8465.0,Total,,,,,
87,2013,Washington,Percent of adults aged 18 years and older who have obesity,33.3,1727.0,,45 - 54,,,,
89,2012,Hawaii,Percent of adults aged 18 years and older who have obesity,16.7,2329.0,,,,,,Asian
91,2011,Tennessee,Percent of adults aged 18 years and older who have obesity,32.5,1394.0,,55 - 64,,,,
96,2011,Georgia,Percent of adults aged 18 years and older who have obesity,33.9,1047.0,,,,,"Less than $15,000",
103,2014,New Mexico,Percent of adults aged 18 years and older who have obesity,33.2,743.0,,25 - 34,,,,
112,2012,Pennsylvania,Percent of adults aged 18 years and older who have obesity,33.8,3148.0,,,,,"$15,000 - $24,999",
113,2012,California,Percent of adults aged 18 years and older who have obesity,31.4,86.0,,,,,,Hawaiian/Pacific Islander
114,2012,District of Columbia,Percent of adults aged 18 years and older who have obesity,34.2,56.0,,,,,,2 or more races
261,2012,Mississippi,Percent of adults aged 18 years and older who have obesity,37.4,1249.0,,45 - 54,,,,
265,2011,Arkansas,Percent of adults aged 18 years and older who have obesity,26.4,80.0,,,,,,2 or more races
271,2014,Maryland,Percent of adults aged 18 years and older who have obesity,30.8,880.0,,,,,"$25,000 - $34,999",
272,2015,Nebraska,Percent of adults aged 18 years and older who have obesity,29.6,896.0,,,Less than high school,,,
278,2015,Iowa,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
312,2011,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.2,5314.0,,,High school graduate,,,
329,2012,Delaware,Percent of adults aged 18 years and older who have obesity,26.0,1644.0,,65 or older,,,,
333,2011,Indiana,Percent of adults aged 18 years and older who have obesity,45.4,103.0,,,,,,2 or more races
381,2015,Iowa,Percent of adults aged 18 years and older who have obesity,37.9,597.0,,35 - 44,,,,
490,2014,Maryland,Percent of adults aged 18 years and older who have obesity,30.2,2715.0,,,Some college or technical school,,,
503,2013,Maine,Percent of adults aged 18 years and older who have obesity,28.9,7791.0,Total,,,,,
512,2011,Kansas,Percent of adults aged 18 years and older who have obesity,31.0,2958.0,,,,,"$50,000 - $74,999",
513,2014,Arizona,Percent of adults aged 18 years and older who have obesity,28.8,8075.0,,,,Female,,
518,2014,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.9,5022.0,,,,,,Non-Hispanic White
545,2012,Rhode Island,Percent of adults aged 18 years and older who have obesity,28.2,716.0,,,,,"$50,000 - $74,999",
546,2012,Vermont,Percent of adults aged 18 years and older who have obesity,22.9,893.0,,,,,"$50,000 - $74,999",
547,2011,District of Columbia,Percent of adults aged 18 years and older who have obesity,26.3,1386.0,,65 or older,,,,
548,2011,Missouri,Percent of adults aged 18 years and older who have obesity,37.7,1079.0,,45 - 54,,,,
555,2013,Alaska,Percent of adults aged 18 years and older who have obesity,28.2,260.0,,,Less than high school,,,
559,2013,Virginia,Percent of adults aged 18 years and older who have obesity,24.2,70.0,,,,,,American Indian/Alaska Native
567,2014,Nebraska,Percent of adults aged 18 years and older who have obesity,31.7,3299.0,,,,,"$50,000 - $74,999",
569,2015,Hawaii,Percent of adults aged 18 years and older who have obesity,23.3,676.0,,,,,"$25,000 - $34,999",
572,2011,Rhode Island,Percent of adults aged 18 years and older who have obesity,25.9,846.0,,,,,"$50,000 - $74,999",
573,2014,Hawaii,Percent of adults aged 18 years and older who have obesity,27.0,758.0,,,,,"Less than $15,000",
578,2012,California,Percent of adults aged 18 years and older who have obesity,27.0,1879.0,,,,,"$50,000 - $74,999",
584,2012,South Dakota,Percent of adults aged 18 years and older who have obesity,32.0,1285.0,,45 - 54,,,,
600,2011,Nevada,Percent of adults aged 18 years and older who have obesity,29.7,805.0,,,,,"$50,000 - $74,999",
609,2015,Kentucky,Percent of adults aged 18 years and older who have obesity,44.3,776.0,,,,,,Non-Hispanic Black
611,2011,Pennsylvania,Percent of adults aged 18 years and older who have obesity,33.8,1152.0,,,,,"Less than $15,000",
614,2013,New Hampshire,Percent of adults aged 18 years and older who have obesity,23.3,1789.0,,,,,"$75,000 or greater",
628,2015,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
630,2013,Nevada,Percent of adults aged 18 years and older who have obesity,25.9,2165.0,,,,Male,,
659,2016,Minnesota,Percent of adults aged 18 years and older who have obesity,35.2,1800.0,,,,,"$15,000 - $24,999",
661,2016,Colorado,Percent of adults aged 18 years and older who have obesity,26.9,1691.0,,,,,,Hispanic
662,2016,Florida,Percent of adults aged 18 years and older who have obesity,27.5,3557.0,,,,,"$25,000 - $34,999",
666,2016,Nebraska,Percent of adults aged 18 years and older who have obesity,32.1,4328.0,,,Some college or technical school,,,
667,2013,Arkansas,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
670,2016,Alaska,Percent of adults aged 18 years and older who have obesity,27.0,250.0,,,,,Data not reported,
672,2016,Delaware,Percent of adults aged 18 years and older who have obesity,30.7,1989.0,,,,Female,,
674,2016,South Dakota,Percent of adults aged 18 years and older who have obesity,32.3,891.0,,,,,"$50,000 - $74,999",
676,2016,Minnesota,Percent of adults aged 18 years and older who have obesity,36.6,175.0,,,,,,American Indian/Alaska Native
699,2011,New Hampshire,Percent of adults aged 18 years and older who have obesity,32.4,1446.0,,55 - 64,,,,
704,2016,Vermont,Percent of adults aged 18 years and older who have obesity,36.9,468.0,,,,,"Less than $15,000",
707,2016,National,Percent of adults aged 18 years and older who have obesity,26.1,1891.0,,,,,,Other
709,2016,Ohio,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
713,2016,New Mexico,Percent of adults aged 18 years and older who have obesity,25.2,2932.0,,,,,,Non-Hispanic White
714,2016,Florida,Percent of adults aged 18 years and older who have obesity,28.3,14638.0,,,,Male,,
717,2016,New York,Percent of adults aged 18 years and older who have obesity,12.7,1659.0,,18 - 24,,,,
719,2016,Kansas,Percent of adults aged 18 years and older who have obesity,30.3,164.0,,,,,,2 or more races
724,2015,Maine,Percent of adults aged 18 years and older who have obesity,31.7,847.0,,,,,Data not reported,
725,2016,Maryland,Percent of adults aged 18 years and older who have obesity,35.4,898.0,,,Less than high school,,,
726,2016,Kentucky,Percent of adults aged 18 years and older who have obesity,31.9,207.0,,,,,,2 or more races
730,2016,Alabama,Percent of adults aged 18 years and older who have obesity,29.6,2142.0,,65 or older,,,,
738,2016,Mississippi,Percent of adults aged 18 years and older who have obesity,19.9,240.0,,18 - 24,,,,
739,2016,North Dakota,Percent of adults aged 18 years and older who have obesity,31.8,4923.0,,,,,,Non-Hispanic White
742,2016,Montana,Percent of adults aged 18 years and older who have obesity,27.4,1632.0,,,High school graduate,,,
743,2016,Arkansas,Percent of adults aged 18 years and older who have obesity,33.4,283.0,,25 - 34,,,,
745,2016,Montana,Percent of adults aged 18 years and older who have obesity,31.6,560.0,,,,,,American Indian/Alaska Native
747,2016,Maryland,Percent of adults aged 18 years and older who have obesity,8.4,358.0,,,,,,Asian
748,2016,New Jersey,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
756,2016,West Virginia,Percent of adults aged 18 years and older who have obesity,40.6,800.0,,,,,"$35,000 - $49,999",
758,2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,34.5,853.0,,,,,"$35,000 - $49,999",
759,2014,Ohio,Percent of adults aged 18 years and older who have obesity,7.8,99.0,,,,,,Asian
761,2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,30.7,4793.0,Total,,,,,
764,2016,Florida,Percent of adults aged 18 years and older who have obesity,31.7,4853.0,,45 - 54,,,,
766,2016,Indiana,Percent of adults aged 18 years and older who have obesity,33.8,3488.0,,,High school graduate,,,
768,2016,Ohio,Percent of adults aged 18 years and older who have obesity,35.6,795.0,,,Less than high school,,,
